Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W],VAV_5:DesPer 1:Des Heat Mass Flow [kg/s],VAV_5:DesPer 1:Des Heat Cap [W],VAV_5:DesPer 1:Des Cool Mass Flow [kg/s],VAV_5:DesPer 1:Des Sens Cool Cap [W],VAV_5:DesPer 1:Des Tot Cool Cap [W],VAV_5:DesPer 2:Des Heat Mass Flow [kg/s],VAV_5:DesPer 2:Des Heat Cap [W],VAV_5:DesPer 2:Des Cool Mass Flow [kg/s],VAV_5:DesPer 2:Des Sens Cool Cap [W],VAV_5:DesPer 2:Des Tot Cool Cap [W]
00:11:00,5.864454E+00,9.271099E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.248148E+00,6.084111E+04,1.323882E+05,6.182492E+01,9.133831E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.479506E+01,6.407252E+05,1.360711E+06,9.974634E+00,7.496330E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.163373E+00,5.965715E+04,1.307471E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.617571E+00,3.033021E+04,6.313415E+04
00:12:00,5.864490E+00,9.271084E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.251750E+00,6.086105E+04,1.323142E+05,6.182533E+01,9.133813E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.485129E+01,6.412071E+05,1.360281E+06,9.975697E+00,7.495871E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.165870E+00,5.966166E+04,1.306551E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.620401E+00,3.035456E+04,6.311354E+04
00:13:00,5.864527E+00,9.271068E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.255317E+00,6.088051E+04,1.322397E+05,6.182575E+01,9.133795E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.490708E+01,6.416826E+05,1.359845E+06,9.976756E+00,7.495413E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.168323E+00,5.966557E+04,1.305626E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.623223E+00,3.037880E+04,6.309287E+04
00:14:00,5.864563E+00,9.271052E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.258851E+00,6.089952E+04,1.321648E+05,6.182617E+01,9.133777E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.496243E+01,6.421522E+05,1.359403E+06,9.977813E+00,7.494957E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.170735E+00,5.966891E+04,1.304695E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.626038E+00,3.040293E+04,6.307215E+04
00:15:00,5.864600E+00,9.271036E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.262353E+00,6.091808E+04,1.320896E+05,6.182658E+01,9.133759E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.501737E+01,6.426160E+05,1.358955E+06,9.978866E+00,7.494502E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.173107E+00,5.967167E+04,1.303759E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.628846E+00,3.042697E+04,6.305137E+04
00:16:00,5.864637E+00,9.271021E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.265824E+00,6.093619E+04,1.320139E+05,6.182700E+01,9.133741E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.507188E+01,6.430738E+05,1.358502E+06,9.979917E+00,7.494048E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.175438E+00,5.967387E+04,1.302817E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.631646E+00,3.045090E+04,6.303054E+04
00:17:00,5.864672E+00,9.271005E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.269262E+00,6.095386E+04,1.319379E+05,6.182741E+01,9.133724E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.512597E+01,6.435257E+05,1.358043E+06,9.980933E+00,7.493609E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.177728E+00,5.967550E+04,1.301871E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.634439E+00,3.047473E+04,6.300965E+04
00:18:00,5.864709E+00,9.270989E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.272669E+00,6.097109E+04,1.318615E+05,6.182783E+01,9.133706E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.517964E+01,6.439717E+05,1.357579E+06,9.981988E+00,7.493154E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.179978E+00,5.967657E+04,1.300919E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.637224E+00,3.049845E+04,6.298871E+04
00:19:00,5.864745E+00,9.270974E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.276044E+00,6.098787E+04,1.317847E+05,6.182823E+01,9.133688E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.523289E+01,6.444119E+05,1.357108E+06,9.983011E+00,7.492712E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.182187E+00,5.967706E+04,1.299962E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.640002E+00,3.052207E+04,6.296771E+04
00:20:00,5.864781E+00,9.270958E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.279389E+00,6.100423E+04,1.317076E+05,6.182864E+01,9.133670E+05,2.823797E+01,0.000000E+00,0.000000E+00,2.823797E+01,0.000000E+00,5.528573E+01,6.448463E+05,1.356633E+06,9.984030E+00,7.492272E+04,2.823797E+00,0.000000E+00,0.000000E+00,2.823797E+00,0.000000E+00,5.184356E+00,5.967701E+04,1.299000E+05,1.411899E+00,5.291969E+04,1.411899E+00,0.000000E+00,0.000000E+00,1.411899E+00,0.000000E+00,2.642773E+00,3.054560E+04,6.294667E+04
